Q = 10      Q = 30      Q = 100     Q = 300     Q = 1000    Q = 3000    Q = 10000   Q = 30000   Q = 100000
0.049921    0.088739    0.467625    3.21128     32.42950    286.2910    3163.7700   28743.200   320496
0.051035    0.100768    0.458175    3.22592     32.34890    287.5540    3162.4400   28797.200   322000
0.051360    0.100073    0.447265    3.21576     32.37410    285.8220    3169.2400   28735.800   321003
0.048477    0.091679    0.482981    3.21956     32.35460    286.6920    3166.2800   28774.800   321518
0.052838    0.097126    0.442943    3.22071     32.29830    285.5430    3162.8900   28829.300   321062
0.050862    0.094433    0.445387    3.23429     32.47620    287.6740    3168.9500   28810.200   321077
0.049329    0.099610    0.499384    3.28206     32.37950    286.8410    3165.1000   28805.400   321066
0.051672    0.095068    0.457306    3.22368     32.31600    286.8160    3163.9200   28814.500   320864
0.051739    0.092007    0.484848    3.14855     32.27210    286.6720    3165.3100   28832.600   320611
0.048618    0.119000    0.483249    3.23252     32.46860    285.6020    3162.1100   28768.100   321061
