Q = 10      Q = 30      Q = 100     Q = 300     Q = 1000    Q = 3000    Q = 10000   Q = 30000   Q = 100000  Q = 300000
213.955     212.652     207.996     215.049     214.175     215.121     225.946     291.591     3517.9      16642.3
215.285     212.166     215.295     211.82      213.344     215.493     226.989     293.474     3484.32     16606.2
214.505     214.954     211.63      214.544     198.642     216.256     229.679     290.741     3509.41     16604.9
214.295     212.852     213.089     213.997     215.176     217.745     229.807     290.467     3509.6      16649
213.152     214.362     213.002     213.459     190.217     215.815     228.356     292.458     3511.9      16657.8
211.843     214.083     213.96      213.906     214.647     216.459     228.593     275.46      3515.89     16622.6
214.4       215.714     213.595     213.209     213.811     214.124     227.807     291.996     3510.33     16615.3
214.56      214.519     212.371     214.813     212.705     217.249     227.788     292.402     3510.91     16623.1
214.973     215.014     212.854     215.779     211.946     215.8       227.608     291.823     3471.75     16614.1
212.212     213.115     213.241     213.246     213.571     215.185     229.622     291.567     3502.02     16586.4
